,City,Latitude,Longitude,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Uusikaupunki,60.8004,21.4084,61.2,69,0,5.66,FI,1592265600
1,Thompson,55.7435,-97.8558,68.85,82,84,11.52,CA,1592265600
2,Dikson,73.5069,80.5464,33.94,98,100,13.31,RU,1592265600
3,Ushuaia,-54.8,-68.3,39.83,77,52,6.73,AR,1592265600
4,Busselton,-33.65,115.3333,59.83,77,97,7.72,AU,1592265600
5,Auning,56.4308,10.3782,57.45,68,0,6.58,DK,1592265600
6,Tasiilaq,65.6145,-37.6368,35.96,89,73,2.35,GL,1592265600
7,Hobart,-42.8794,147.3294,56.84,63,21,20.24,AU,1592265600
8,Punta Arenas,-53.15,-70.9167,38.86,85,12,6.11,CL,1592265600
9,Wangqing,43.3218,129.7634,67.12,76,38,4.61,CN,1592265600
10,Khatanga,71.9667,102.5,49.71,64,97,11.95,RU,1592265600
11,Cape Town,-33.9258,18.4232,56.48,82,0,4.23,ZA,1592265600
12,Marfino,55.7028,37.3822,62.13,83,93,7.23,RU,1592265600
13,Port Elizabeth,-33.918,25.5701,57.58,88,50,3.22,ZA,1592265600
14,Yellowknife,62.456,-114.3525,59.32,63,89,23.29,CA,1592265600
15,Port Alfred,-33.5906,26.891,59.99,86,93,4.81,ZA,1592265600
16,Warrenton,-28.114,24.8475,42.94,53,0,10.4,ZA,1592265600
17,Taksimo,56.3444,114.8794,71.47,59,3,2.3,RU,1592265600
18,Kritsa,35.1667,25.65,72.88,67,70,1.79,GR,1592265600
19,Savannakhet,16.566,104.751,75.6,92,100,11.9,LA,1592265600
20,Qaanaaq,77.484,-69.3632,33.94,89,0,3.67,GL,1592265600
21,Santander,43.4647,-3.8044,59.9,85,95,6.85,ES,1592265600
22,Petropavlovsk-Kamchatskiy,53.0452,158.6483,46.36,89,94,7.05,RU,1592265600
23,Port Shepstone,-30.7414,30.455,56.16,62,0,9.01,ZA,1592265600
24,Kaputa,-8.4689,29.6619,63.09,59,0,3.69,ZM,1592265600
25,Butaritari,3.0707,172.7902,83.46,74,11,9.06,KI,1592265600
26,Ternate,0.8,127.4,82.22,77,56,2.95,ID,1592265600
27,Ribeira Grande,38.5167,-28.7,64.38,86,52,19.42,PT,1592265600
28,Arkhara,49.4212,130.0842,60.82,80,97,9.48,RU,1592265600
29,San Cristobal,7.7669,-72.225,76.68,70,62,1.59,VE,1592265600
30,Rurrenabaque,-14.4413,-67.5278,76.6,68,87,0.45,BO,1592265600
31,Hermanus,-34.4187,19.2345,54.7,85,28,10.8,ZA,1592265600
32,Luján,-34.5703,-59.105,54.68,56,29,9.89,AR,1592265600
